,0
a,0.024340729236598094
b,0.029923434781878346
c,0.029923434781878328
d,0.03670623025766391
e,0.031936025970528484
f,0.029013648415818726
g,0.04740020588949252
h,0.04572464320508167
i,0.03149612317178294
j,0.025201098874728083
k,0.06201783942868696
l,0.04035658975035596
m,0.028752556454184952
n,0.047332516899876984
o,0.03134816668242965
p,0.06835758566962688
q,0.05750511290836994
r,0.04111098708995837
s,0.0371548845650323
t,0.05750511290836994
u,0.034551797908772365
w,0.06738855911325445
x,0.030971318119060714
y,0.025304267553117592
z,0.03867713036345169
